Original,New,Original Colors,
1,24,#D89000,
2,29,#FA62DB,
3,26,#C09B00,
4,36,#FF6A98,
5,38,#35A2FF,
6,18,#FF65AA,
7,19,#00C0B4,
8,20,#CD9600,
9,40,#00C1A3,
10,22,#00BFC4,
11,28,#00BE67,
12,4,#D973FC,
13,31,#E28A00,
14,34,#F27D53,
15,39,#F8766D,
16,8,#7099FF,
17,15,#61B200,
18,32,#FF62BC,
19,35,#A3A500,
20,33,#00B5EC,
21,3,#FF61CC,
22,13,#F265E8,
23,9,#00BF7D,
24,2,#9590FF,
25,5,#7CAE00,
26,12,#00BB4E,
27,1,#EA8331,
28,27,#00B92A,
29,17,#C77CFF,
30,25,#00A9FF,
31,23,#B2A000,
32,7,#FD7083,
33,6,#00C091,
34,37,#B186FF,
35,11,#91AA00,
36,21,#39B600,
37,10,#E76BF3,
38,16,#00B0F6,
39,14,#00BAE0,
40,30,#00BDD3,